[15-Sep-2020 00:15:35 Europe/Berlin] Hello, errors!
[15-Sep-2020 12:06:11 Europe/Berlin] Hello, errors!
[15-Sep-2020 12:06:13 Europe/Berlin] Hello, errors!
[15-Sep-2020 12:06:20 Europe/Berlin] Hello, errors!
[15-Sep-2020 12:06:29 Europe/Berlin] Hello, errors!
[15-Sep-2020 12:07:02 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:31:47 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:31:51 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:34:04 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:34:27 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:39:31 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:39:55 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:09:08 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:11:01 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:11:07 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:19:33 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:23:21 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:27:15 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:30:22 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:30:29 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:34:36 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:54:16 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:57:56 Europe/Berlin] Hello, errors!
[17-Sep-2020 11:58:07 Africa/Lagos] PHP Notice:  Undefined variable: database in C:\xampp\htdocs\wejapa\wejapablog\pdo_connection.php on line 126
[17-Sep-2020 11:58:07 Africa/Lagos] PHP Fatal error:  Uncaught Error: Call to a member function setAttribute() on null in C:\xampp\htdocs\wejapa\wejapablog\pdo_connection.php:126
Stack trace:
#0 C:\xampp\htdocs\wejapa\wejapablog\includes\header.php(10): require_once()
#1 C:\xampp\htdocs\wejapa\wejapablog\index.php(1): require_once('C:\\xampp\\htdocs...')
#2 {main}
  thrown in C:\xampp\htdocs\wejapa\wejapablog\pdo_connection.php on line 126
[17-Sep-2020 12:58:37 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:59:02 Europe/Berlin] Hello, errors!
[17-Sep-2020 12:59:48 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:00:11 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:02:26 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:28:09 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:43:55 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:43:59 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:47:51 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:47:57 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:48:00 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:48:27 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:48:31 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:48:34 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:48:37 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:53:23 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:53:47 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:54:11 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:54:28 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:54:47 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:54:58 Europe/Berlin] Hello, errors!
[17-Sep-2020 13:55:10 Europe/Berlin] Hello, errors!
